id,name,address,city,state,zip,category,subcategory,annual_revenue,employee_count,founded_year,lat,lon,is_active,last_inspection_date
42,The Soundside Innovations,4538 Harbor Dr,Everett,WA,98203,Food & Beverage,Brewery,8147079,1578,1990,47.97106,-122.170488,true,2022-01-28
43,Peak Edge Group,3280 Industrial Rd,Redmond,WA,98053,Healthcare,Telehealth,12092118,2477,1951,47.64318,-122.10925,true,2021-06-02
44,Olympic Connect Corp,9505 Industrial Pl,Kirkland,WA,98034,Technology,Software,29609360,2792,1973,47.686403,-122.18631,false,2022-10-31
45,Cascade Bridge Consulting,2585 Hill Pkwy,Yakima,WA,98903,Manufacturing,Aerospace,5766393,2034,1965,46.638654,-120.521915,true,2024-08-31
46,The Metro Group,5103 Pine Pkwy,Olympia,WA,98501,Food & Beverage,Catering,13994410,1729,1983,47.073083,-122.914355,true,2021-10-05
47,Cedar Connect Group,3892 Industrial Dr,Redmond,WA,98053,Healthcare,Medical Devices,4826792,1913,1983,47.628784,-122.130978,true,2022-03-21
48,Olympic Inc,5139 Industrial Pl,Kent,WA,98030,Technology,Hardware,31503788,2492,2001,47.397716,-122.180991,false,2025-08-11
49,Partners Studio,523 Elm Rd,Federal Way,WA,98003,Manufacturing,Food Processing,45166053,2208,2023,47.269653,-122.365217,true,2021-12-18
50,The Harbor Design,1594 Jefferson Way,Everett,WA,98208,Food & Beverage,Bakery,22417947,2631,1963,48.029929,-122.238221,true,2023-09-12
51,Bay Health Holdings,5253 Market Way,Kent,WA,98030,Professional Services,Marketing,27173728,4216,1950,47.354586,-122.176577,true,2025-03-07
52,Urban Inc,4475 Lake Dr,Kent,WA,98035,Technology,Hardware,46908766,3971,1965,47.382213,-122.215284,true,2022-09-07
53,The Cascade Dynamics,2024 Hill Pl,Vancouver,WA,98665,Healthcare,Clinic Services,19636497,4169,1984,46.0,-122.66373,true,2025-05-30
54,Cedar Industries,1243 Commerce Ln,Everett,WA,98204,Healthcare,Telehealth,34123698,2189,1950,47.986152,-122.21397,true,2023-05-07
55,Urban & Innovations Associates,9003 Willow Pl,Yakima,WA,98903,Food & Beverage,Bakery,12710246,1957,2023,46.643831,-120.516414,true,2024-08-09
56,Horizon Solutions Holdings,2168 Monroe Pkwy,Seattle,WA,98115,Retail,Sporting Goods,6785354,3607,1962,47.634627,-122.292631,true,2025-02-14
57,Data Holdings,5646 Cherry St,Seattle,WA,98115,Professional Services,Legal,45305365,4372,1998,47.599197,-122.311426,false,2025-06-21
58,Rainier Dynamics Industries,7210 Washington St,Yakima,WA,98908,Food & Beverage,Restaurant,11214551,2454,1953,46.614095,-120.541828,true,2020-08-17
59,Coastal Consulting,2885 Forest St,Kirkland,WA,98034,Retail,Home Goods,41638058,1973,2013,47.671682,-122.240696,false,2021-08-09
60,Pacific & Ventures Group,2688 Cedar Pl,Redmond,WA,98053,Manufacturing,Metal Fabrication,39481269,2451,2004,47.640477,-122.149361,true,2025-02-14
61,Puget & Dynamics Enterprises,5981 Industrial Dr,Yakima,WA,98901,Retail,Electronics,44223055,3243,1985,46.659925,-120.4676,true,2020-07-19
62,Pioneer Associates,3215 Market Blvd,Kennewick,WA,99338,Food & Beverage,Bakery,6570560,323,1989,46.249941,-119.091648,true,2020-05-16
63,Coastal Co,8937 Canyon Ct,Olympia,WA,98503,Retail,Electronics,11092389,2106,2011,46.990816,-122.924587,false,2023-04-23
64,Analytics Agency,1579 Cherry Ave,Vancouver,WA,98662,Retail,Apparel,36058758,1013,2008,46.0,-122.720964,true,2022-12-09
65,Pioneer & Connect Inc,9298 Ridge Pkwy,Olympia,WA,98502,Manufacturing,Metal Fabrication,43513215,518,2009,47.092835,-122.946998,false,2023-05-22
66,Rainier Connect Corp,3946 Lake Ln,Spokane,WA,99208,Manufacturing,Aerospace,24948161,4426,2003,47.616773,-117.376449,true,2021-09-24
67,Labs Inc,3659 Lincoln Pl,Kennewick,WA,99336,Manufacturing,Metal Fabrication,24389448,814,1997,46.161883,-119.141278,true,2024-01-09
68,Metro Consulting,9883 Oak Ave,Seattle,WA,98115,Manufacturing,Food Processing,16395631,1032,2022,47.572777,-122.375341,true,2022-04-28
69,Cedar Group,2229 Market Blvd,Olympia,WA,98501,Healthcare,Pharmaceuticals,44412827,212,1966,47.019427,-122.942293,true,2022-09-01
70,Coastal Logic Corp,7902 Lincoln Way,Olympia,WA,98501,Retail,Apparel,30383570,4128,1978,47.00091,-122.953712,false,2020-06-26
71,The Northwest Connect,1868 Adams Pl,Vancouver,WA,98660,Professional Services,Accounting,5471757,2639,1968,46.0,-122.614317,true,2023-01-31
72,Rainier & Ventures Agency,7148 Washington St,Olympia,WA,98502,Professional Services,Accounting,28911505,3700,1979,47.025709,-122.888313,true,2025-01-31
73,The Columbia Innovations,1199 Elm St,Kent,WA,98030,Manufacturing,Metal Fabrication,29032742,792,1997,47.33141,-122.238788,true,2020-09-02
74,Coastal & Health Group,5219 Spring St,Olympia,WA,98502,Food & Beverage,Brewery,10433766,3951,1978,47.060402,-122.910703,true,2023-12-05
75,Pioneer & Design Agency,9221 Oak Pkwy,Yakima,WA,98903,Food & Beverage,Brewery,1993015,1478,1984,46.553786,-120.536572,true,2023-06-19
76,Harbor Corp,602 Elm Ct,Kennewick,WA,99336,Retail,Home Goods,25295979,3440,2008,46.150733,-119.095616,true,2024-02-24
77,Cascade LLC,915 Elm Dr,Kirkland,WA,98034,Professional Services,Accounting,44471953,3474,2012,47.71322,-122.201889,true,2024-08-23
78,Connect Agency,844 Sunset Ln,Kirkland,WA,98033,Healthcare,Medical Devices,565871,1675,1988,47.661421,-122.256693,false,2021-07-16
79,The Coastal Services,8825 Sunset Ct,Bellingham,WA,98229,Retail,Home Goods,44881953,2902,1959,48.729375,-122.539072,true,2020-06-22
80,The Harbor Design,6943 Industrial St,Kent,WA,98035,Technology,Cybersecurity,1449659,2661,1971,47.430539,-122.186547,true,2025-02-27
81,The Pioneer Design,8684 Elm Ln,Yakima,WA,98903,Professional Services,Accounting,22834350,1816,1992,46.550576,-120.468662,true,2020-11-08
82,Alpine Industries,3971 Washington Blvd,Federal Way,WA,98023,Professional Services,Consulting,13288686,1422,1969,47.323673,-122.346732,true,2020-11-04
83,Harbor & Ventures Consulting,5395 Ridge Blvd,Tacoma,WA,98408,Professional Services,Marketing,4632613,3842,2006,47.245674,-122.432352,true,2023-01-30
84,Health Inc,4803 Cedar St,Olympia,WA,98506,Technology,Cloud Services,31102053,4755,2020,47.04088,-122.922751,false,2020-06-17
85,Olympic Health Holdings,5726 Elm Ct,Everett,WA,98203,Food & Beverage,Catering,2676783,2030,2006,47.958583,-122.202925,false,2025-11-16
86,Horizon & Design Associates,957 Meadow St,Federal Way,WA,98023,Food & Beverage,Catering,6392186,4571,1999,47.303668,-122.259848,true,2021-09-07
87,Horizon Solutions Studio,5172 Willow Way,Renton,WA,98056,Technology,Hardware,45020750,4313,1961,47.54001,-122.212772,true,2024-09-30
88,Evergreen Holdings,3811 Lake Blvd,Federal Way,WA,98003,Retail,Apparel,19900271,829,2014,47.303512,-122.348368,true,2025-11-26
89,Cedar LLC,3062 River Pl,Seattle,WA,98102,Professional Services,Accounting,27622254,2985,1980,47.655167,-122.315836,false,2023-03-13
90,Urban & Works Associates,7318 Madison Dr,Bellingham,WA,98226,Professional Services,Marketing,33799496,4321,2003,48.71808,-122.5113,false,2022-03-28
91,Urban Innovations Agency,8552 Park Dr,Bellingham,WA,98225,Food & Beverage,Catering,10808378,2235,2007,48.79476,-122.533738,false,2021-08-26
92,The Metro Innovations,972 Cherry Ct,Yakima,WA,98903,Manufacturing,Aerospace,15872798,3164,1960,46.65357,-120.543355,true,2020-04-25
93,Rainier Industries,7785 Lincoln Pkwy,Renton,WA,98055,Technology,Cloud Services,5366751,156,1982,47.524966,-122.233488,true,2021-09-04
94,Rainier Inc,6978 Madison St,Federal Way,WA,98003,Professional Services,Marketing,33592971,4889,2018,47.273342,-122.335428,true,2025-10-11
95,The Alpine Dynamics,3168 Elm Ct,Olympia,WA,98503,Healthcare,Pharmaceuticals,4591882,4310,2019,47.014953,-122.959812,true,2025-09-10
96,Horizon Innovations Group,5950 Cedar Way,Federal Way,WA,98003,Technology,Cybersecurity,49236839,850,2024,47.3648,-122.364776,true,2023-09-23
97,The Summit Ventures,3086 Lake St,Tacoma,WA,98408,Technology,Cloud Services,2531940,2404,1975,47.255522,-122.402379,true,2022-03-28
98,Bay Connect Group,3231 Industrial Way,Kennewick,WA,99336,Technology,Cloud Services,44055387,2720,1984,46.262005,-119.138154,true,2024-02-16
99,The Soundside Services,6118 Commerce St,Kent,WA,98035,Manufacturing,Metal Fabrication,5346701,3528,1973,47.372768,-122.175223,true,2023-08-08
100,The Cedar Design,5859 Lincoln Ave,Bellevue,WA,98006,Technology,Cloud Services,41311984,3564,1985,47.62931,-122.22322,true,2020-08-22
101,Summit & Tech LLC,7279 Maple Blvd,Bellevue,WA,98004,Professional Services,Marketing,15887381,3001,1996,47.593597,-122.163868,true,2020-05-12
102,Cascade & Bridge LLC,6112 Cherry Way,Olympia,WA,98503,Healthcare,Telehealth,16801154,930,1953,47.093859,-122.915358,true,2025-08-06
103,Works Studio,8147 Valley St,Federal Way,WA,98003,Manufacturing,Metal Fabrication,5019548,3704,1972,47.274131,-122.277004,true,2024-12-28
104,Craft Group,2680 Forest Way,Bellevue,WA,98008,Professional Services,Accounting,15098600,995,1975,47.630141,-122.174855,true,2022-08-27
105,Metro & Craft LLC,1512 Cedar Dr,Bellingham,WA,98226,Manufacturing,Aerospace,48162599,3922,2017,48.733308,-122.471327,true,2024-08-04
106,Cascade & Ventures Holdings,5744 Lake Ct,Yakima,WA,98902,Food & Beverage,Restaurant,8709255,3545,2014,46.555039,-120.531957,false,2020-08-14
107,Innovations Agency,1392 Market Rd,Yakima,WA,98903,Technology,Hardware,8450036,2481,2018,46.576495,-120.550564,true,2021-11-21
108,Cedar Partners Studio,564 Elm Ave,Olympia,WA,98503,Food & Beverage,Catering,43746593,1727,2023,47.000544,-122.885062,true,2020-05-04
109,The Pioneer Analytics,1295 Pine Blvd,Everett,WA,98208,Professional Services,Accounting,27941903,3967,2009,47.997029,-122.223749,true,2021-08-11
110,Horizon & Solutions Associates,9302 Washington Way,Renton,WA,98056,Professional Services,Accounting,31354444,1004,1984,47.518104,-122.146707,true,2021-07-31
111,Dynamics LLC,9564 Ridge Rd,Bellevue,WA,98005,Technology,Cloud Services,33488034,4217,2009,47.663446,-122.1563,true,2023-06-17
112,Works Studio,897 Pine Dr,Everett,WA,98208,Technology,Software,40148805,3856,1986,48.033428,-122.199347,true,2021-03-16
113,Alpine Health Enterprises,9443 Valley Way,Kent,WA,98042,Healthcare,Clinic Services,19417732,603,1999,47.407301,-122.198337,true,2023-02-19
114,Partners Agency,2463 Valley Pkwy,Yakima,WA,98908,Food & Beverage,Restaurant,33609660,330,1955,46.55544,-120.558398,true,2023-09-26
115,Peak & Solutions Associates,5318 River Ln,Bellingham,WA,98229,Manufacturing,Metal Fabrication,49664882,2452,1993,48.744839,-122.467249,true,2025-09-18
116,Pacific Innovations Associates,6924 Harbor Ave,Federal Way,WA,98023,Manufacturing,Metal Fabrication,17869445,4739,2023,47.327551,-122.313013,true,2020-07-29
117,Horizon Consulting,617 Park Rd,Olympia,WA,98501,Manufacturing,Aerospace,29647597,2570,2003,47.042908,-122.873458,true,2022-04-15
118,Northwest Agency,9289 Ridge Pl,Kent,WA,98042,Food & Beverage,Bakery,25338282,2571,1972,47.424738,-122.2017,true,2025-12-23
119,Columbia Holdings,4138 Commerce Ct,Renton,WA,98057,Food & Beverage,Brewery,15140571,2439,1986,47.511104,-122.145881,true,2025-06-25
120,Columbia & Group Corp,8999 Willow Ln,Renton,WA,98057,Manufacturing,Food Processing,9879846,2380,1955,47.497259,-122.137862,true,2020-11-19
121,Evergreen & Craft Group,4550 Lake St,Renton,WA,98059,Manufacturing,Metal Fabrication,49770351,4808,1980,47.460773,-122.19251,true,2025-12-15
122,Urban Consulting,184 River Ln,Redmond,WA,98053,Professional Services,Legal,32091027,1634,1986,47.616299,-122.130404,true,2020-08-30
123,Northwest Enterprises,695 Cherry Pl,Kennewick,WA,99336,Technology,Hardware,19475799,307,1951,46.214218,-119.113226,true,2021-03-15
124,Peak & Connect LLC,7768 Commerce Rd,Kennewick,WA,99336,Retail,Home Goods,22241834,1332,2008,46.204522,-119.123043,true,2022-02-01
125,The Evergreen Services,7107 Monroe Way,Seattle,WA,98103,Professional Services,Accounting,26949463,782,1973,47.644892,-122.321866,false,2025-05-09
126,Columbia & Partners Group,9486 Main Dr,Renton,WA,98057,Healthcare,Medical Devices,46540913,1936,1957,47.461294,-122.221737,true,2025-03-21
127,Systems Consulting,6121 Sunset Rd,Kirkland,WA,98033,Healthcare,Telehealth,32140244,1255,2008,47.702329,-122.159227,true,2024-03-10
128,Evergreen & Dynamics Consulting,1441 Lincoln Ct,Kent,WA,98032,Professional Services,Marketing,5291384,4622,1964,47.410882,-122.193761,true,2025-09-01
129,Metro Consulting,9654 Adams St,Redmond,WA,98053,Food & Beverage,Catering,3783655,3715,1966,47.629744,-122.077462,true,2025-02-14
130,Pacific Analytics Group,3670 Cedar Ave,Olympia,WA,98506,Technology,Cybersecurity,23170940,523,2019,47.060732,-122.92302,false,2020-10-09
131,The Olympic Design,7448 Willow Ln,Kennewick,WA,99336,Manufacturing,Aerospace,45867258,4418,1967,46.184451,-119.178402,true,2023-11-25
132,Tech Inc,7685 Broadway Ct,Bellevue,WA,98007,Healthcare,Telehealth,15462494,2028,2008,47.613461,-122.172657,true,2023-02-03
133,Cedar Co,1202 Washington Pkwy,Redmond,WA,98052,Professional Services,Consulting,30010152,4898,1956,47.613866,-122.100776,true,2020-06-30
134,Solutions Agency,3936 Ridge Pkwy,Kent,WA,98042,Manufacturing,Aerospace,45182851,2627,1980,47.384771,-122.199474,true,2021-08-09
135,Bay Industries,7099 Adams Ave,Spokane,WA,99206,Food & Beverage,Catering,43222210,3123,2017,47.649627,-117.456982,true,2024-09-01
136,Dynamics Co,2465 Madison Ave,Kent,WA,98042,Healthcare,Clinic Services,27744317,3413,2021,47.365175,-122.19947,true,2024-05-09
137,Metro & Innovations Corp,3220 Pine Dr,Redmond,WA,98053,Retail,Electronics,45259357,4956,1955,47.649632,-122.170512,true,2022-02-09
138,Soundside Inc,3213 Park Pl,Bellingham,WA,98225,Food & Beverage,Catering,46732689,4952,1976,48.747527,-122.435663,true,2022-09-07
139,Group Group,8501 Adams Pl,Federal Way,WA,98003,Retail,Home Goods,48530354,3847,1990,47.305679,-122.305962,false,2024-02-27
140,Olympic & Tech Group,9668 Division Dr,Renton,WA,98056,Manufacturing,Aerospace,13216207,2703,1979,47.497503,-122.223447,true,2022-10-03
141,Ventures LLC,2873 Lake Ct,Everett,WA,98208,Food & Beverage,Brewery,12401236,4442,1957,47.950879,-122.161409,true,2020-10-31
142,Pioneer Industries,249 Sunrise Ct,Yakima,WA,98908,Professional Services,Consulting,25095074,496,2011,46.631721,-120.520513,true,2020-03-05
143,Columbia Craft Group,8328 Broadway Blvd,Seattle,WA,98104,Food & Beverage,Bakery,6513515,4296,1969,47.551422,-122.32647,true,2025-11-26
144,Horizon Studio,3800 Harbor St,Kirkland,WA,98033,Retail,Home Goods,6324712,3321,1998,47.715392,-122.260518,true,2025-05-03
145,Coastal Partners Studio,8753 Maple Rd,Seattle,WA,98107,Professional Services,Consulting,46508641,4644,2010,47.634341,-122.380078,true,2020-10-31
146,Pacific Studio,6625 Cedar Dr,Spokane,WA,99203,Retail,Apparel,37896594,1970,2022,47.621523,-117.387949,true,2024-05-12
147,Logic Industries,979 Washington Ln,Spokane,WA,99204,Food & Beverage,Brewery,5151498,2791,2000,47.646062,-117.401231,false,2023-08-29
148,The Pioneer Innovations,7175 Forest Pkwy,Seattle,WA,98136,Professional Services,Accounting,25556248,703,1987,47.644026,-122.335934,true,2020-10-28
149,Analytics Associates,1845 Elm Ave,Bellevue,WA,98006,Retail,Electronics,29895718,2949,1984,47.5956,-122.165933,true,2020-12-23
150,Tech Corp,9180 Elm Pkwy,Tacoma,WA,98418,Manufacturing,Food Processing,21822150,3156,1951,47.256838,-122.438507,true,2024-05-07
151,Services LLC,5033 Commerce Pl,Bellingham,WA,98225,Technology,Hardware,4295786,1370,2005,48.758635,-122.51965,true,2023-05-12
152,Urban Studio,7601 Washington Blvd,Everett,WA,98204,Technology,Cloud Services,504150,3242,1992,47.950204,-122.230409,true,2024-04-05
153,Solutions Group,9983 Valley Pl,Bellingham,WA,98226,Retail,Sporting Goods,11971035,3263,1990,48.730168,-122.442143,true,2025-07-04
154,Horizon & Innovations Corp,3373 Forest Ct,Olympia,WA,98501,Healthcare,Clinic Services,48852462,3782,1976,47.025127,-122.862021,true,2023-04-08
155,Connect LLC,4065 Market Blvd,Yakima,WA,98908,Professional Services,Consulting,25349425,606,2007,46.638276,-120.474521,false,2025-05-16
156,Craft Inc,8896 Elm St,Olympia,WA,98502,Manufacturing,Metal Fabrication,44180899,2909,1971,47.040794,-122.849553,true,2020-06-30
157,Coastal Systems Inc,4339 Sunset Ct,Olympia,WA,98502,Professional Services,Marketing,29965692,3065,2000,47.096017,-122.920208,true,2025-08-11
158,Cascade Industries,5807 Harbor Way,Tacoma,WA,98408,Retail,Apparel,13932631,4269,2011,47.247933,-122.464548,true,2021-02-03
159,Puget Tech Associates,2792 Pacific Ct,Everett,WA,98203,Professional Services,Marketing,37088072,1312,1992,47.958269,-122.223968,true,2025-03-07
160,Coastal & Analytics Inc,3332 Lincoln Pkwy,Redmond,WA,98053,Manufacturing,Metal Fabrication,26144327,37,1977,47.632134,-122.103143,true,2020-09-13
161,The Puget Labs,8746 Ridge Pkwy,Olympia,WA,98506,Technology,Hardware,41074213,3216,1964,47.023895,-122.936351,true,2025-02-18
162,Olympic Corp,5103 Park Blvd,Olympia,WA,98503,Healthcare,Clinic Services,46585738,1159,2015,47.090242,-122.88918,true,2021-07-18
163,The Summit Craft,4832 Lake Blvd,Olympia,WA,98503,Manufacturing,Food Processing,30316162,440,1995,47.00229,-122.88374,false,2025-06-07
164,The Urban Design,6909 Lincoln Pl,Tacoma,WA,98403,Healthcare,Telehealth,5597931,4632,1953,47.305659,-122.439347,true,2022-06-22
165,The Metro Bridge,9106 Monroe St,Kirkland,WA,98033,Technology,Cloud Services,18027720,4450,1996,47.646981,-122.23536,true,2020-06-19
166,Puget Dynamics Group,7468 Market Way,Bellingham,WA,98225,Professional Services,Marketing,29515482,962,1980,48.755562,-122.421227,true,2023-12-07
167,Evergreen & Works Inc,5847 Commerce Pkwy,Yakima,WA,98902,Professional Services,Marketing,21770026,2398,1987,46.559918,-120.553292,true,2025-10-08
168,Coastal Group,2274 Pacific Blvd,Kennewick,WA,99338,Professional Services,Consulting,21665544,2028,2000,46.166271,-119.109989,true,2023-01-05
169,Analytics Agency,6146 Madison Pl,Spokane,WA,99206,Manufacturing,Food Processing,39104375,21,1961,47.654239,-117.413965,true,2025-02-20
170,Horizon Enterprises,8205 Commerce Way,Spokane,WA,99205,Professional Services,Accounting,22716364,4484,2023,47.702013,-117.394519,true,2025-06-10
171,Metro Corp,7330 Madison Ave,Bellingham,WA,98226,Retail,Apparel,13627344,1081,1988,48.695513,-122.464858,true,2023-01-27
172,Health Enterprises,3936 Broadway St,Bellevue,WA,98004,Professional Services,Accounting,122900,1749,2011,47.580047,-122.215379,true,2022-07-15
173,Puget Industries,7926 Cedar Rd,Federal Way,WA,98023,Professional Services,Marketing,6044907,840,1963,47.261114,-122.286528,true,2023-05-10
174,Cascade Logic Studio,2788 Lincoln Way,Tacoma,WA,98404,Manufacturing,Aerospace,42199737,1241,2002,47.266989,-122.418744,true,2024-12-17
175,The Puget Bridge,5859 Broadway Way,Yakima,WA,98902,Healthcare,Medical Devices,16678662,2269,1960,46.647591,-120.553198,true,2023-03-13
176,Rainier & Works Agency,8448 Valley Ln,Bellingham,WA,98226,Professional Services,Consulting,43413719,448,1980,48.791747,-122.460991,true,2021-04-06
177,Pacific Associates,6437 Division Way,Redmond,WA,98052,Manufacturing,Metal Fabrication,31659256,598,1952,47.681272,-122.116606,true,2020-02-26
178,Horizon & Logic Group,6906 Broadway Ln,Kirkland,WA,98033,Healthcare,Medical Devices,43035729,4396,2018,47.73071,-122.156158,true,2023-02-10
179,The Olympic Craft,9708 Cedar Dr,Bellevue,WA,98007,Retail,Apparel,49036677,1955,1957,47.611357,-122.235616,true,2024-11-14
180,Summit Inc,285 River Pl,Bellevue,WA,98006,Manufacturing,Metal Fabrication,35148295,4238,1983,47.62306,-122.222885,true,2021-06-03
181,Coastal Labs Agency,4408 Cedar Pl,Vancouver,WA,98663,Retail,Apparel,34327991,2951,1957,46.0,-122.726477,true,2021-11-14
182,Puget & Dynamics Industries,142 Maple Ave,Renton,WA,98056,Healthcare,Clinic Services,3135768,3865,1996,47.522799,-122.142688,true,2021-09-06
183,Soundside & Labs Corp,6208 Park Ct,Tacoma,WA,98401,Technology,Cybersecurity,12085595,1829,2016,47.216942,-122.470208,false,2024-06-30
184,Cascade Craft Holdings,6144 Valley Dr,Bellevue,WA,98008,Manufacturing,Food Processing,20445008,1988,2009,47.642823,-122.222716,true,2025-07-13
185,Dynamics Agency,257 Meadow Ave,Bellingham,WA,98229,Healthcare,Pharmaceuticals,25301376,2520,1963,48.708068,-122.428112,true,2022-09-02
186,Columbia Inc,8615 Division Way,Kent,WA,98035,Manufacturing,Aerospace,5747704,4758,1962,47.436707,-122.272915,true,2024-06-03
